ApproxNeuraLCBV2-net has 861 parameters.
start
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 1000000.00000, lambda = 1000.00000, score = -0.08675
sigma = 1000000.00000, lambda = 10000.00000, score = -0.00985
sigma = 1000000.00000, lambda = 100000.00000, score = -0.00100
sigma = 1000000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 1000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 0.00100, score = -0.49999
sigma = 10000000.00000, lambda = 0.01000, score = -0.49999
sigma = 10000000.00000, lambda = 0.10000, score = -0.49999
sigma = 10000000.00000, lambda = 1.00000, score = -0.49990
sigma = 10000000.00000, lambda = 10.00000, score = -0.49555
sigma = 10000000.00000, lambda = 100.00000, score = -0.37448
sigma = 10000000.00000, lambda = 1000.00000, score = -0.08675
sigma = 10000000.00000, lambda = 10000.00000, score = -0.00985
sigma = 10000000.00000, lambda = 100000.00000, score = -0.00100
sigma = 10000000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 10000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 0.00100, score = -0.49999
sigma = 100000000.00000, lambda = 0.01000, score = -0.49999
sigma = 100000000.00000, lambda = 0.10000, score = -0.49999
sigma = 100000000.00000, lambda = 1.00000, score = -0.49990
sigma = 100000000.00000, lambda = 10.00000, score = -0.49555
sigma = 100000000.00000, lambda = 100.00000, score = -0.37448
sigma = 100000000.00000, lambda = 1000.00000, score = -0.08675
sigma = 100000000.00000, lambda = 10000.00000, score = -0.00985
sigma = 100000000.00000, lambda = 100000.00000, score = -0.00100
sigma = 100000000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 100000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 0.00100, score = -0.49999
sigma = 1000000000.00000, lambda = 0.01000, score = -0.49999
sigma = 1000000000.00000, lambda = 0.10000, score = -0.49999
sigma = 1000000000.00000, lambda = 1.00000, score = -0.49990
sigma = 1000000000.00000, lambda = 10.00000, score = -0.49555
sigma = 1000000000.00000, lambda = 100.00000, score = -0.37448
sigma = 1000000000.00000, lambda = 1000.00000, score = -0.08675
sigma = 1000000000.00000, lambda = 10000.00000, score = -0.00985
sigma = 1000000000.00000, lambda = 100000.00000, score = -0.00100
sigma = 1000000000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 1000000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 1000000000.00000, score = -0.00000
Found optimal sigma = 10.000, lambda = 0.100.
Optimizing theta...
Approximate alpha-relative PE-divergence = 0.17
Approximate alpha-relative KL-divergence = 0.00
RuLSIF completed.
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 0.00100, lambda = 0.01000, score = 0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = 0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = -0.00000
sigma = 0.01000, lambda = 0.01000, score = -0.00000
sigma = 0.01000, lambda = 0.10000, score = -0.00000
sigma = 0.01000, lambda = 1.00000, score = -0.00000
sigma = 0.01000, lambda = 10.00000, score = -0.00000
sigma = 0.01000, lambda = 100.00000, score = -0.00000
sigma = 0.01000, lambda = 1000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = -0.00000
sigma = 0.10000, lambda = 0.00100, score = -0.16232
sigma = 0.10000, lambda = 0.01000, score = -0.01886
sigma = 0.10000, lambda = 0.10000, score = -0.00191
sigma = 0.10000, lambda = 1.00000, score = -0.00019
sigma = 0.10000, lambda = 10.00000, score = -0.00002
sigma = 0.10000, lambda = 100.00000, score = -0.00000
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 71.45404
sigma = 1.00000, lambda = 0.01000, score = 2.55949
sigma = 1.00000, lambda = 0.10000, score = -0.42408
sigma = 1.00000, lambda = 1.00000, score = -0.46593
sigma = 1.00000, lambda = 10.00000, score = -0.32398
sigma = 1.00000, lambda = 100.00000, score = -0.06770
sigma = 1.00000, lambda = 1000.00000, score = -0.00753
sigma = 1.00000, lambda = 10000.00000, score = -0.00076
sigma = 1.00000, lambda = 100000.00000, score = -0.00008
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 155.91980
sigma = 10.00000, lambda = 0.01000, score = 1.55753
sigma = 10.00000, lambda = 0.10000, score = -0.49965
sigma = 10.00000, lambda = 1.00000, score = -0.49952
sigma = 10.00000, lambda = 10.00000, score = -0.49493
sigma = 10.00000, lambda = 100.00000, score = -0.37038
sigma = 10.00000, lambda = 1000.00000, score = -0.08442
sigma = 10.00000, lambda = 10000.00000, score = -0.00955
sigma = 10.00000, lambda = 100000.00000, score = -0.00097
sigma = 10.00000, lambda = 1000000.00000, score = -0.00010
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.49996
sigma = 100.00000, lambda = 0.01000, score = -0.49999
sigma = 100.00000, lambda = 0.10000, score = -0.49998
sigma = 100.00000, lambda = 1.00000, score = -0.49990
sigma = 100.00000, lambda = 10.00000, score = -0.49554
sigma = 100.00000, lambda = 100.00000, score = -0.37444
sigma = 100.00000, lambda = 1000.00000, score = -0.08672
sigma = 100.00000, lambda = 10000.00000, score = -0.00985
sigma = 100.00000, lambda = 100000.00000, score = -0.00100
sigma = 100.00000, lambda = 1000000.00000, score = -0.00010
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 0.00100, score = -0.49999
sigma = 1000.00000, lambda = 0.01000, score = -0.49999
sigma = 1000.00000, lambda = 0.10000, score = -0.49999
sigma = 1000.00000, lambda = 1.00000, score = -0.49990
sigma = 1000.00000, lambda = 10.00000, score = -0.49555
sigma = 1000.00000, lambda = 100.00000, score = -0.37448
sigma = 1000.00000, lambda = 1000.00000, score = -0.08675
sigma = 1000.00000, lambda = 10000.00000, score = -0.00985
sigma = 1000.00000, lambda = 100000.00000, score = -0.00100
sigma = 1000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 1000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 0.00100, score = -0.49999
sigma = 10000.00000, lambda = 0.01000, score = -0.49999
sigma = 10000.00000, lambda = 0.10000, score = -0.49999
sigma = 10000.00000, lambda = 1.00000, score = -0.49990
sigma = 10000.00000, lambda = 10.00000, score = -0.49555
sigma = 10000.00000, lambda = 100.00000, score = -0.37448
sigma = 10000.00000, lambda = 1000.00000, score = -0.08675
sigma = 10000.00000, lambda = 10000.00000, score = -0.00985
sigma = 10000.00000, lambda = 100000.00000, score = -0.00100
sigma = 10000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 10000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 0.00100, score = -0.49999
sigma = 100000.00000, lambda = 0.01000, score = -0.49999
sigma = 100000.00000, lambda = 0.10000, score = -0.49999
sigma = 100000.00000, lambda = 1.00000, score = -0.49990
sigma = 100000.00000, lambda = 10.00000, score = -0.49555
sigma = 10000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 0.00100, score = -0.49999
sigma = 100000000.00000, lambda = 0.01000, score = -0.49999
sigma = 100000000.00000, lambda = 0.10000, score = -0.49999
sigma = 100000000.00000, lambda = 1.00000, score = -0.49990
sigma = 100000000.00000, lambda = 10.00000, score = -0.49555
sigma = 100000000.00000, lambda = 100.00000, score = -0.37448
sigma = 100000000.00000, lambda = 1000.00000, score = -0.08675
sigma = 100000000.00000, lambda = 10000.00000, score = -0.00985
sigma = 100000000.00000, lambda = 100000.00000, score = -0.00100
sigma = 100000000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 100000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 0.00100, score = -0.49999
sigma = 1000000000.00000, lambda = 0.01000, score = -0.49999
sigma = 1000000000.00000, lambda = 0.10000, score = -0.49999
sigma = 1000000000.00000, lambda = 1.00000, score = -0.49990
sigma = 1000000000.00000, lambda = 10.00000, score = -0.49555
sigma = 1000000000.00000, lambda = 100.00000, score = -0.37448
sigma = 1000000000.00000, lambda = 1000.00000, score = -0.08675
sigma = 1000000000.00000, lambda = 10000.00000, score = -0.00985
sigma = 1000000000.00000, lambda = 100000.00000, score = -0.00100
sigma = 1000000000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 1000000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 1000000000.00000, score = -0.00000
Found optimal sigma = 1000000000.000, lambda = 0.001.
Optimizing theta...
Approximate alpha-relative PE-divergence = 0.17
Approximate alpha-relative KL-divergence = -0.00
RuLSIF completed.
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 0.00100, lambda = 0.01000, score = 0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = 0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
