True
0
ApproxNeuraLCBV2-net has 961 parameters.
True
0
ApproxNeuraLCBV2-net has 961 parameters.
start
start
True
0
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 71.04159
sigma = 1.00000, lambda = 0.01000, score = 2.14597
sigma = 1.00000, lambda = 0.10000, score = -0.37266
sigma = 1.00000, lambda = 1.00000, score = -0.49812
sigma = 1.00000, lambda = 10.00000, score = -0.45041
sigma = 1.00000, lambda = 100.00000, score = -0.18357
sigma = 1.00000, lambda = 1000.00000, score = -0.02511
sigma = 1.00000, lambda = 10000.00000, score = -0.00260
sigma = 1.00000, lambda = 100000.00000, score = -0.00026
sigma = 1.00000, lambda = 1000000.00000, score = -0.00003
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 43.70558
sigma = 10.00000, lambda = 0.01000, score = 0.59990
sigma = 10.00000, lambda = 0.10000, score = -0.50021
sigma = 10.00000, lambda = 1.00000, score = -0.49993
sigma = 10.00000, lambda = 10.00000, score = -0.49544
sigma = 10.00000, lambda = 100.00000, score = -0.37245
sigma = 10.00000, lambda = 1000.00000, score = -0.08553
sigma = 10.00000, lambda = 10000.00000, score = -0.00969
sigma = 10.00000, lambda = 100000.00000, score = -0.00098
sigma = 10.00000, lambda = 1000000.00000, score = -0.00010
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.49999
sigma = 100.00000, lambda = 0.01000, score = -0.49999
sigma = 100.00000, lambda = 0.10000, score = -0.49999
sigma = 100.00000, lambda = 1.00000, score = -0.49990
sigma = 100.00000, lambda = 10.00000, score = -0.49555
sigma = 100.00000, lambda = 100.00000, score = -0.37446
